term	dsDNA Adenoviridae	dsDNA Herpesviridae	dsDNA Polyomaviridae	dsDNA Poxviridae	dsRNA Reoviridae	n_ssRNA Filoviridae	n_ssRNA Orthomyxoviridae	n_ssRNA Paramyxoviridae	n_ssRNA Pneumoviridae	n_ssRNA Rhabdoviridae	p_ssRNA Astroviridae	p_ssRNA Caliciviridae	p_ssRNA Coronaviridae	p_ssRNA Flaviviridae	p_ssRNA Hepeviridae	p_ssRNA Picornaviridae	p_ssRNA Togaviridae	ssDNA Circoviridae	ssDNA Parvoviridae	ssDNA Smacoviridae
GO_antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	0.0	4.3	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_DNA repair	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	2.8	0.0	0.0	0.0
GO_DNA recombination	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	4.3	0.0	3.8	0.0	0.2	0.0
GO_signal peptide processing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	4.6	3.0	1.7	0.0	5.4	0.0	0.0	0.0	0.0
GO_protein phosphorylation	0.0	89.8	0.0	45.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_protein dephosphorylation	0.0	0.0	0.0	7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_proteolysis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.5	42.8	26.4	26.6	0.0	49.6	0.0	0.0	0.0	0.0
GO_ubiquitin-dependent protein catabolic process	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_transport	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4	0.0	0.0
GO_receptor-mediated endocytosis	1.4	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_phagocytosis, recognition	4.0	4.7	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_phagocytosis, engulfment	5.5	2.6	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_chemotaxis	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_inflammatory response	-0.0	13.5	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_immune response	6.8	23.6	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_complement activation	5.6	5.5	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	3.1	2.1	0.4	0.7	0.0	3.0	0.0	0.0	0.0	0.0
GO_complement activation, classical pathway	8.0	9.3	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.1	-0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0
GO_cell adhesion	8.3	5.5	0.0	3.3	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_homophilic cell adhesion via plasma membrane adhesion molecules	10.4	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	8.9	5.0	0.0	3.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_signal transduction	0.0	6.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_cell surface receptor signaling pathway	-0.0	8.6	0.0	5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_transmembrane receptor protein tyrosine kinase signaling pathway	0.2	15.5	0.0	8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_G-protein coupled receptor signaling pathway	0.0	9.3	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_positive regulation of cytosolic calcium ion concentration	0.0	2.2	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_blood coagulation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.2	3.7	0.9	0.7	0.0	5.0	0.0	0.0	0.0	0.0
GO_blood coagulation, intrinsic pathway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2	3.3	1.7	0.7	0.0	4.0	0.0	0.0	0.0	0.0
GO_cell recognition	6.9	1.7	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_regulation of cell shape	0.0	4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_RNA secondary structure unwinding	0.0	4.7	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.1	17.4	9.7	0.0	22.1	0.0	0.0	0.0
GO_positive regulation of neuron projection development	0.0	2.4	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_protein processing	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7	3.5	1.5	1.8	0.0	4.5	0.0	0.0	0.0	0.0
GO_protein ubiquitination	0.0	0.0	0.0	0.0	0.0	0.0	2.3	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_protein deubiquitination	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_peptidyl-glutamic acid carboxylation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	5.4	3.8	2.2	0.0	6.2	0.0	0.0	0.0	0.0
GO_peptidyl-lysine methylation	0.0	0.0	0.0	-0.0	0.0	2.7	0.0	0.9	3.5	2.6	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0
GO_peptidyl-serine phosphorylation	0.0	29.2	0.0	18.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_peptidyl-threonine phosphorylation	0.0	6.0	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_peptidyl-tyrosine phosphorylation	0.0	30.2	0.0	17.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_antigen processing and presentation	0.0	4.2	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_extracellular matrix disassembly	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7	6.1	3.2	3.7	0.0	7.5	0.0	0.0	0.0	0.0
GO_signal transduction by protein phosphorylation	0.0	6.7	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_positive regulation of cell migration	0.0	2.4	0.0	2.3	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_tRNA methylation	0.0	0.0	0.0	-0.0	0.5	3.6	0.0	1.4	4.6	3.5	0.0	0.0	1.4	1.7	0.0	0.0	0.0	0.0	0.0	0.0
GO_cytoplasmic microtubule organization	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	2.3	3.2	4.0
GO_rRNA methylation	0.0	0.0	0.0	0.0	2.6	9.0	0.0	5.8	10.3	8.7	0.0	0.0	2.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0
GO_T cell costimulation	0.4	7.5	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_zymogen activation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.4	0.5	0.6	0.0	1.9	0.0	0.0	0.0	0.0
GO_methylation	0.0	0.0	0.0	0.0	6.2	13.6	0.0	7.7	12.1	13.0	0.0	0.0	1.8	8.4	0.0	0.0	0.0	0.0	0.0	0.0
GO_DNA duplex unwinding	0.0	0.1	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	4.0	7.3	0.0	6.8	0.0	0.0	0.0
GO_peptidyl-tyrosine dephosphorylation	0.0	0.0	0.0	25.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_intracellular signal transduction	0.0	15.2	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_peptidyl-tyrosine autophosphorylation	0.0	15.3	0.0	9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_Fc-gamma receptor signaling pathway involved in phagocytosis	7.5	4.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_regulation of cell proliferation	0.0	3.4	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_fibrinolysis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9	3.0	1.4	0.5	0.0	3.7	0.0	0.0	0.0	0.0
GO_negative regulation of apoptotic process	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_positive regulation of MAPK cascade	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_innate immune response	0.3	13.9	0.0	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_viral entry into host cell	2.0	1.8	0.0	1.7	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_protein autophosphorylation	-0.0	54.4	0.0	34.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_regulation of immune response	22.3	15.1	0.0	7.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_B cell receptor signaling pathway	3.1	9.1	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_positive regulation of B cell activation	4.3	5.2	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_leukocyte migration	2.7	3.3	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_positive regulation of fibrinolysis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.4	1.3	1.5	0.0	2.9	0.0	0.0	0.0	0.0
GO_transmembrane transport	4.6	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.7	0.0	0.0
GO_cell chemotaxis	0.0	4.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_interferon-gamma-mediated signaling pathway	0.0	4.6	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_chemokine-mediated signaling pathway	0.0	10.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_positive regulation of ERK1 and ERK2 cascade	0.0	7.3	0.0	3.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GO_cellular response to tumor necrosis factor	0.0	2.9	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Tyrosine metabolism	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Metabolism of xenobiotics by cytochrome P450	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Metabolic pathways	0.0	0.0	0.0	0.0	0.4	6.3	0.0	0.0	0.3	5.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_ABC transporters	9.3	2.8	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.4	0.0	0.0
KG_RNA transport	0.0	0.0	0.0	0.0	0.0	0.0	0.9	1.7	0.0	0.0	0.0	0.0	0.1	0.1	1.5	0.0	2.4	0.0	0.0	0.0
KG_Spliceosome	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6	0.0	1.5	0.0	0.0	0.0
KG_MAPK signaling pathway	0.0	4.2	0.0	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_ErbB signaling pathway	0.0	5.3	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Calcium signaling pathway	0.0	4.9	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Cytokine-cytokine receptor interaction	0.0	7.3	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Chemokine signaling pathway	0.0	9.6	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_NF-kappa B signaling pathway	0.0	2.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_FoxO signaling pathway	0.0	7.7	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Sphingolipid signaling pathway	0.0	2.6	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Neuroactive ligand-receptor interaction	0.0	4.4	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.5	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
KG_Ubiquitin mediated proteolysis	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_PI3K-Akt signaling pathway	0.0	3.2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Osteoclast differentiation	0.1	2.7	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Cell adhesion molecules (CAMs)	21.2	15.7	0.0	8.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Signaling pathways regulating pluripotency of stem cells	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Complement and coagulation cascades	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.9	18.9	14.5	12.6	0.0	21.2	0.0	0.0	0.0	0.0
KG_Toll-like receptor signaling pathway	0.0	8.5	0.0	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_T cell receptor signaling pathway	0.0	3.9	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Fc epsilon RI signaling pathway	0.0	3.1	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_TNF signaling pathway	0.0	8.2	0.0	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Intestinal immune network for IgA production	0.0	6.2	0.0	1.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Neurotrophin signaling pathway	0.0	5.8	0.0	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Inflammatory mediator regulation of TRP channels	0.0	2.9	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_GnRH signaling pathway	0.0	5.3	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Type I diabetes mellitus	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Bile secretion	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6	0.0	0.0
KG_Epithelial cell signaling in Helicobacter pylori infection	0.0	4.6	0.0	3.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Leishmaniasis	0.0	3.3	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Chagas disease (American trypanosomiasis)	0.0	3.2	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Toxoplasmosis	0.0	7.3	0.0	3.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Staphylococcus aureus infection	0.0	4.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	6.6	5.4	3.6	3.4	0.0	6.3	0.0	0.0	0.0	0.0
KG_Tuberculosis	0.0	7.9	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Hepatitis C	0.0	3.4	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Hepatitis B	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Influenza A	0.0	8.1	0.0	6.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Herpes simplex infection	0.0	4.3	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Epstein-Barr virus infection	0.0	7.3	0.0	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Pathways in cancer	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Chemical carcinogenesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Colorectal cancer	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Pancreatic cancer	0.0	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Asthma	0.0	2.9	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Autoimmune thyroid disease	0.0	3.3	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Rheumatoid arthritis	0.0	4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Allograft rejection	0.0	3.5	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Graft-versus-host disease	0.0	2.9	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KG_Viral myocarditis	0.0	4.7	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RE_E2F-enabled inhibition of pre-replication complex formation	0.0	0.0	3.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0	3.8	2.7	0.0
RE_Mitochondrial ABC transporters	0.1	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0
RE_Intrinsic Pathway of Fibrin Clot Formation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3	5.3	3.6	2.3	0.0	6.1	0.0	0.0	0.0	0.0
RE_Activation of Matrix Metalloproteinases	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3	6.1	4.3	4.2	0.0	7.1	0.0	0.0	0.0	0.0
