1a06_A	17	145	Q63450	nonHumanMammal
1cs8_A	206	300	P07711	human
1cs8_A	226	301	P07711	human
1cs8_A	53	302	P07711	human
1ct9_A	1	149	P22106	bacteria
1ct9_A	1	165	P22106	bacteria
1ct9_A	1	181	P22106	bacteria
1ct9_A	1	434	P22106	bacteria
1ct9_A	1	488	P22106	bacteria
1ct9_A	113	183	P22106	bacteria
1ct9_A	17	434	P22106	bacteria
1ct9_A	17	487	P22106	bacteria
1ct9_A	18	160	P22106	bacteria
1ct9_A	2	200	P22106	bacteria
1ct9_A	205	278	P22106	bacteria
1ct9_A	205	440	P22106	bacteria
1ct9_A	206	395	P22106	bacteria
1ct9_A	208	319	P22106	bacteria
1ct9_A	210	297	P22106	bacteria
1ct9_A	211	476	P22106	bacteria
1ct9_A	211	493	P22106	bacteria
1ct9_A	26	178	P22106	bacteria
1ct9_A	44	165	P22106	bacteria
1ct9_A	45	184	P22106	bacteria
1ct9_A	45	246	P22106	bacteria
1ct9_A	74	322	P22106	bacteria
1ct9_A	95	246	P22106	bacteria
1ctn_A	1	539	P07254	bacteria
1ctp_E	20	226	P36887	nonHumanMammal
1ctp_E	43	226	P36887	nonHumanMammal
1ctp_E	43	258	P36887	nonHumanMammal
1ctp_E	96	258	P36887	nonHumanMammal
1cw0_A	1	147	P09184	bacteria
1cxv_A	3	130	P33435	nonHumanMammal
1cxy_A	1	81	P82291	bacteria
1cyd_A	1	65	P08074	nonHumanMammal
1cyd_A	8	86	P08074	nonHumanMammal
1d0q_A	1	101	Q9X4D0	bacteria
1d1n_A	24	91	P04766	bacteria
1d1n_A	8	91	P04766	bacteria
1d2e_A	2	237	P49410	nonHumanMammal
1d2e_A	47	274	P49410	nonHumanMammal
1d9s_A	13	137	P55271	nonHumanMammal
1dce_A	443	548	Q08602	nonHumanMammal
1dcq_A	167	260	Q7SIG6	nonHumanMammal
1dcq_A	183	242	Q7SIG6	nonHumanMammal
1dcq_A	184	259	Q7SIG6	nonHumanMammal
1dd9_A	18	135	P0ABS5	bacteria
1ddl_A	1	189	O89511	virus
1ddl_A	25	188	O89511	virus
1dek_A	1	197	P04531	virus
1dek_A	1	242	P04531	virus
1dek_A	127	242	P04531	virus
1dek_A	128	195	P04531	virus
1dek_A	148	242	P04531	virus
1dek_A	23	241	P04531	virus
1dek_A	30	186	P04531	virus
1deu_A	30	248	Q9UBR2	human
1deu_A	30	268	Q9UBR2	human
1dfa_A	1	406	P17255	plantfungi
1dfa_A	1	87	P17255	plantfungi
1dfa_A	142	316	P17255	plantfungi
1dfa_A	145	379	P17255	plantfungi
1dg3_A	38	141	P32455	human
1dg3_A	395	541	P32455	human
1dgs_A	1	582	Q9ZHI0	bacteria
1dgs_A	111	581	Q9ZHI0	bacteria
1dgs_A	116	390	Q9ZHI0	bacteria
1dgs_A	13	318	Q9ZHI0	bacteria
1dgs_A	133	391	Q9ZHI0	bacteria
1dgs_A	167	405	Q9ZHI0	bacteria
1dgs_A	261	382	Q9ZHI0	bacteria
1dgs_A	280	404	Q9ZHI0	bacteria
1dgs_A	303	356	Q9ZHI0	bacteria
1dgs_A	313	391	Q9ZHI0	bacteria
1dgs_A	382	576	Q9ZHI0	bacteria
1dgs_A	399	497	Q9ZHI0	bacteria
1dgs_A	4	404	Q9ZHI0	bacteria
1dgs_A	416	578	Q9ZHI0	bacteria
1dgs_A	417	492	Q9ZHI0	bacteria
1dgs_A	417	519	Q9ZHI0	bacteria
1dgs_A	417	550	Q9ZHI0	bacteria
1dgs_A	442	580	Q9ZHI0	bacteria
1dgs_A	543	581	Q9ZHI0	bacteria
1dix_A	7	193	P80022	plantfungi
1dj2_A	1	166	Q96529	plantfungi
1dj2_A	1	428	Q96529	plantfungi
1dj2_A	143	428	Q96529	plantfungi
1dj2_A	186	428	Q96529	plantfungi
1dj2_A	7	352	Q96529	plantfungi
1dkg_D	1	182	P0A6Y8	bacteria
1dnp_A	272	470	P00914	bacteria
1dnv_A	1	380	Q90125	virus
1dnv_A	1	400	Q90125	virus
1dnv_A	1	416	Q90125	virus
1dp7_P	1	76	P22670	human
1dp7_P	22	77	P22670	human
1dq3_A	1	253	E7FHX6	bacteria
1dq3_A	1	286	E7FHX6	bacteria
1dq3_A	1	302	E7FHX6	bacteria
1dq3_A	1	318	E7FHX6	bacteria
1dq3_A	1	455	E7FHX6	bacteria
1dq3_A	200	455	E7FHX6	bacteria
1dq3_A	223	303	E7FHX6	bacteria
1dq3_A	223	455	E7FHX6	bacteria
1dq3_A	246	455	E7FHX6	bacteria
1dq3_A	271	455	E7FHX6	bacteria
1dq3_A	337	455	E7FHX6	bacteria
1dq3_A	50	257	E7FHX6	bacteria
1dq3_A	50	287	E7FHX6	bacteria
1dq3_A	50	455	E7FHX6	bacteria
1dq3_A	66	317	E7FHX6	bacteria
1dq3_A	67	455	E7FHX6	bacteria
1dq3_A	80	336	E7FHX6	bacteria
1dq3_A	82	317	E7FHX6	bacteria
1dq3_A	83	455	E7FHX6	bacteria
1dqc_A	13	57	P91818	invertebrate
1dqc_A	14	73	P91818	invertebrate
1dtk_A	2	58	P00981	nonMammalVertebrate
1dun_A	11	121	nan	nan
1dus_A	40	123	Q58292	bacteria
1dx4_A	1	118	P07140	invertebrate
1dxs_A	1	58	O15350	human
1dzf_A	1	212	P20434	plantfungi
1dzf_A	120	212	P20434	plantfungi
1dzf_A	84	200	P20434	plantfungi
1e2k_A	1	193	P03176	virus
1e2t_A	21	230	Q00267	bacteria
1e2t_A	23	195	Q00267	bacteria
1e3h_A	190	354	Q53597	bacteria
1e4u_A	8	68	O95628	human
1e57_A	1	161	P36351	virus
1e57_A	7	142	P36351	virus
1e7u_A	336	490	O02697	nonHumanMammal
1e99_A	1	196	P23919	human
1e9c_A	1	141	P23919	human
1e9c_A	1	209	P23919	human
1e9c_A	72	209	P23919	human
1e9l_A	94	349	O35744	nonHumanMammal
1e9o_A	33	148	P00442	nonHumanMammal
1eak_A	1	184	P08253	human
1eak_A	119	188	P08253	human
1eak_A	16	79	P08253	human
1eak_A	19	179	P08253	human
1eam_A	10	199	P07617	virus
1ecb_A	1	111	P0AG16	bacteria
1ecb_A	1	174	P0AG16	bacteria
1ecb_A	1	233	P0AG16	bacteria
1ecb_A	1	268	P0AG16	bacteria
1ecb_A	1	458	P0AG16	bacteria
1ecb_A	269	458	P0AG16	bacteria
1ecb_A	71	214	P0AG16	bacteria
1ecf_A	23	116	P0AG16	bacteria
1ecf_A	62	140	P0AG16	bacteria
1ecf_A	63	173	P0AG16	bacteria
1edt_A	70	157	P04067	bacteria
1ee8_A	148	263	O50606	bacteria
1ef4_A	1	56	O26147	bacteria
1eg2_A	1	219	P14751	bacteria
1eg2_A	90	253	P14751	bacteria
1ega_A	1	176	P06616	bacteria
1ehn_A	1	541	P07254	bacteria
1eib_A	1	541	P07254	bacteria
1eik_A	4	77	O27122	bacteria
1ej6_A	1	1285	P11079	virus
1ej6_B	1	1032	P15024	virus
1epu_A	473	544	O62547	invertebrate
1eug_A	24	217	P12295	bacteria
1eug_A	3	217	P12295	bacteria
1eug_A	41	217	P12295	bacteria
1eug_A	54	186	P12295	bacteria
1euv_A	103	220	Q02724	plantfungi
1euv_A	29	195	Q02724	plantfungi
1euv_A	31	217	Q02724	plantfungi
1euv_A	45	189	Q02724	plantfungi
1euw_A	31	121	P06968	bacteria
1euw_A	86	137	P06968	bacteria
1ewq_A	255	465	Q56215	bacteria
1ex6_A	1	185	P15454	plantfungi
1ex6_A	6	65	P15454	plantfungi
1exk_A	4	78	P08622	bacteria
1f1j_A	6	231	P55210	human
1f1s_A	198	317	Q53591	bacteria
1f28_A	248	296	P13100	plantfungi
1f2n_A	1	190	Q86527	virus
1f2n_A	1	80	Q86527	virus
1f2t_A	1	52	P58301	bacteria
1f2t_A	1	92	P58301	bacteria
1f2t_A	17	90	P58301	bacteria
1f3y_A	14	148	nan	nan
1f3y_A	22	71	nan	nan
1f3y_A	6	74	nan	nan
1f3y_A	9	165	nan	nan
1f6b_A	9	176	Q9QVY3	nonHumanMammal
1f7d_A	1	119	P16088	virus
1f7d_A	17	119	P16088	virus
1f7d_A	2	103	P16088	virus
1f8v_A	1	356	Q9J7Z0	virus
1f8v_A	1	45	Q9J7Z0	virus
1f8v_A	45	356	Q9J7Z0	virus
1f8v_D	1	19	nan	nan
1f9x_A	1	104	P98170	human
1fb1_A	4	158	P30793	human
1fb1_A	73	194	P30793	human
1fb1_A	9	196	P30793	human
1fbl_A	12	173	P21692	nonHumanMammal
1fbl_A	12	192	P21692	nonHumanMammal
1fbl_A	29	364	P21692	nonHumanMammal
1fbl_A	7	251	P21692	nonHumanMammal
1fbl_A	80	140	P21692	nonHumanMammal
1ffq_A	1	541	P07254	bacteria
1ffr_A	1	541	P07254	bacteria
1ffy_A	47	325	P41972	bacteria
1ffy_A	529	913	P41972	bacteria
1ffy_A	568	625	P41972	bacteria
1ffy_A	575	733	P41972	bacteria
1ffy_A	586	655	P41972	bacteria
1ffy_A	592	690	P41972	bacteria
1ffy_A	592	772	P41972	bacteria
1fjm_A	17	130	P62139	nonHumanMammal
1fjr_A	55	189	O97148	invertebrate
1fmd_1	133	188	Q65095	virus
1fn9_A	1	315	P03527	virus
1fn9_A	1	331	P03527	virus
1fnn_A	41	147	Q8ZYK1	bacteria
1fot_A	106	256	P06244	plantfungi
1fot_A	112	230	P06244	plantfungi
1fot_A	2	202	P06244	plantfungi
1fot_A	20	256	P06244	plantfungi
1fot_A	28	202	P06244	plantfungi
1fot_A	42	230	P06244	plantfungi
1fot_A	65	202	P06244	plantfungi
1fot_A	67	228	P06244	plantfungi
1fot_A	67	247	P06244	plantfungi
1fot_A	81	206	P06244	plantfungi
1fot_A	90	247	P06244	plantfungi
1fpo_A	1	108	P0A6L9	bacteria
1fpo_A	1	142	P0A6L9	bacteria
1fs2_A	1	49	Q13309	human
1fw6_A	27	753	Q56215	bacteria
1fw6_A	275	706	Q56215	bacteria
1fw6_A	275	737	Q56215	bacteria
1fw6_A	275	753	Q56215	bacteria
1fw6_A	31	592	Q56215	bacteria
1fw6_A	31	737	Q56215	bacteria
1fw6_A	478	708	Q56215	bacteria
1fw6_A	517	706	Q56215	bacteria
1fw6_A	551	750	Q56215	bacteria
1fw6_A	579	698	Q56215	bacteria
1fw6_A	579	719	Q56215	bacteria
1fw6_A	579	737	Q56215	bacteria
1fw6_A	579	753	Q56215	bacteria
1fw6_A	85	737	Q56215	bacteria
1fw6_A	85	753	Q56215	bacteria
1fx2_A	11	163	Q99279	invertebrate
1fx2_A	25	144	Q99279	invertebrate
1fx2_A	25	187	Q99279	invertebrate
1fx2_A	35	231	Q99279	invertebrate
1fx2_A	5	187	Q99279	invertebrate
1fx2_A	5	232	Q99279	invertebrate
1fx2_A	6	211	Q99279	invertebrate
1fx4_A	7	191	nan	nan
1fx4_A	7	209	nan	nan
1fx4_A	9	228	nan	nan
1fzt_A	1	166	P36623	plantfungi
1g0s_A	11	123	Q93K97	bacteria
1g0s_A	3	180	Q93K97	bacteria
1g0s_A	39	177	Q93K97	bacteria
1g0s_A	40	145	Q93K97	bacteria
1g0s_A	55	129	Q93K97	bacteria
1g0s_A	55	196	Q93K97	bacteria
1g0s_A	56	149	Q93K97	bacteria
1g0s_A	57	175	Q93K97	bacteria
1g0s_A	88	150	Q93K97	bacteria
1g0s_A	88	192	Q93K97	bacteria
1g0s_A	89	133	Q93K97	bacteria
1g0s_A	94	174	Q93K97	bacteria
1g16_A	1	159	P07560	plantfungi
1g29_1	1	54	Q9YGA6	bacteria
1g29_1	119	220	Q9YGA6	bacteria
1g29_1	13	221	Q9YGA6	bacteria
1g29_1	135	227	Q9YGA6	bacteria
1g29_1	139	211	Q9YGA6	bacteria
1g29_1	157	199	Q9YGA6	bacteria
1g29_1	21	201	Q9YGA6	bacteria
1g29_1	26	57	Q9YGA6	bacteria
1g29_1	29	218	Q9YGA6	bacteria
1g3n_C	1	133	Q98147	virus
1g3n_C	10	92	Q98147	virus
1g3n_C	22	113	Q98147	virus
1g3n_C	22	133	Q98147	virus
1g3n_C	28	179	Q98147	virus
1g3n_C	35	96	Q98147	virus
1g3n_C	43	132	Q98147	virus
1g3n_C	6	165	Q98147	virus
1g3n_C	64	132	Q98147	virus
1g3q_A	1	237	Q8U3I1	bacteria
1g43_A	3	161	Q45996	bacteria
1g60_A	1	239	P23192	bacteria
1g60_A	177	239	P23192	bacteria
1g60_A	2	177	P23192	bacteria
1g60_A	83	239	P23192	bacteria
1g6x_A	2	58	P00974	nonHumanMammal
1g95_A	3	187	Q97R46	bacteria
1g95_A	6	106	Q97R46	bacteria
1g9r_A	182	270	Q93EK7	bacteria
1gax_A	112	267	P96142	bacteria
1gax_A	33	269	P96142	bacteria
1gcc_A	2	64	O80337	plantfungi
1ggp_B	1	212	Q7SIF1	plantfungi
1gh2_A	1	107	O43396	human
1gh2_A	6	60	O43396	human
1gkc_A	5	160	P14780	human
1gl0_I	1	33	P80060	invertebrate
1gp6_A	46	161	Q96323	plantfungi
1gpe_A	435	572	P81156	plantfungi
1gr3_A	1	133	Q03692	human
1gr3_A	1	79	Q03692	human
1gt0_D	4	77	P48432	nonHumanMammal
1gtv_A	1	208	P9WKE1	bacteria
1gxy_A	3	224	P20974	nonHumanMammal
1gxy_A	59	203	P20974	nonHumanMammal
1gxy_A	78	212	P20974	nonHumanMammal
1h0n_A	1	289	P11157	nonHumanMammal
1h0n_A	1	35	P11157	nonHumanMammal
1h0n_A	162	288	P11157	nonHumanMammal
1h0n_A	17	289	P11157	nonHumanMammal
1h0n_A	25	226	P11157	nonHumanMammal
1h0n_A	26	244	P11157	nonHumanMammal
1h0n_A	27	210	P11157	nonHumanMammal
1h0n_A	28	124	P11157	nonHumanMammal
1h0n_A	28	154	P11157	nonHumanMammal
1h0n_A	28	83	P11157	nonHumanMammal
1h0n_A	33	289	P11157	nonHumanMammal
1h0n_A	7	207	P11157	nonHumanMammal
1h0n_A	7	75	P11157	nonHumanMammal
1h0n_A	7	99	P11157	nonHumanMammal
1h0n_A	88	153	P11157	nonHumanMammal
1h0n_A	97	288	P11157	nonHumanMammal
1h2e_A	2	166	Q9ALU0	bacteria
1h2e_A	20	196	Q9ALU0	bacteria
1h3i_A	1	114	Q8WTS6	human
1h3i_A	1	95	Q8WTS6	human
1h3i_A	17	114	Q8WTS6	human
1h3i_A	2	130	Q8WTS6	human
1h3i_A	2	146	Q8WTS6	human
1h3i_A	2	43	Q8WTS6	human
1h3i_A	2	60	Q8WTS6	human
1h3i_A	2	77	Q8WTS6	human
1h3i_A	26	94	Q8WTS6	human
1h3i_A	39	120	Q8WTS6	human
1h3i_A	7	171	Q8WTS6	human
1h4l_A	10	141	Q00535	human
1h4l_A	10	187	Q00535	human
1h4l_A	10	230	Q00535	human
1h4l_A	10	252	Q00535	human
1h4l_A	10	273	Q00535	human
1h4l_A	34	137	Q00535	human
1h4l_A	34	179	Q00535	human
1h4l_A	34	199	Q00535	human
1h4l_A	39	252	Q00535	human
1h4l_A	42	223	Q00535	human
1h6t_A	114	193	P25147	bacteria
1h6t_A	114	213	P25147	bacteria
1h6t_A	91	207	P25147	bacteria
1h6u_A	57	160	Q9ZEY1	bacteria
1h6u_A	68	234	Q9ZEY1	bacteria
1hcd_A	2	118	P13231	invertebrate
1hdf_A	9	97	P09353	invertebrate
1hdj_A	3	76	P25685	human
1he8_A	533	654	P48736	human
1hko_A	21	81	P00171	nonHumanMammal
1hko_A	5	83	P00171	nonHumanMammal
1hky_A	8	85	Q9U966	invertebrate
1hm0_A	3	234	Q97R46	bacteria
1hm0_A	6	142	Q97R46	bacteria
1hme_A	2	76	P63159	nonHumanMammal
1hmj_A	1	66	nan	nan
1how_A	160	319	Q03656	plantfungi
1how_A	170	279	Q03656	plantfungi
1how_A	193	316	Q03656	plantfungi
1hp1_A	126	294	P07024	bacteria
1hp1_A	58	196	P07024	bacteria
1hp1_A	90	230	P07024	bacteria
1hq3_A	1	97	P02263	nonMammalVertebrate
1hqc_A	34	105	Q5SL87	bacteria
1hqm_D	508	931	Q9KWU6	bacteria
1hv5_A	10	162	Q02853	nonHumanMammal
1hv5_A	21	131	Q02853	nonHumanMammal
1hv5_A	30	163	Q02853	nonHumanMammal
1hv5_A	47	131	Q02853	nonHumanMammal
1hv5_A	56	162	Q02853	nonHumanMammal
1hw4_A	1	264	P04818	human
1hw4_A	96	212	P04818	human
1hzw_A	5	240	P04818	human
1i1d_A	53	153	P43577	plantfungi
1i1d_A	9	153	P43577	plantfungi
1i3o_E	36	106	nan	nan
1i4o_C	1	18	nan	nan
1i5g_A	15	86	O77093	invertebrate
1i60_A	103	226	P42419	bacteria
1i60_A	114	252	P42419	bacteria
1i60_A	150	252	P42419	bacteria
1i60_A	75	226	P42419	bacteria
1i60_A	83	252	P42419	bacteria
1i84_S	773	909	P10587	nonMammalVertebrate
1i84_S	806	909	P10587	nonMammalVertebrate
1i84_S	822	909	P10587	nonMammalVertebrate
1i84_S	838	909	P10587	nonMammalVertebrate
1i84_S	854	909	P10587	nonMammalVertebrate
1i84_S	871	909	P10587	nonMammalVertebrate
1i84_S	887	909	P10587	nonMammalVertebrate
1i8t_A	2	75	P37747	bacteria
1ia1_A	5	139	P22906	plantfungi
1ia1_A	9	168	P22906	plantfungi
1ia1_A	9	192	P22906	plantfungi
1ibj_A	31	281	P53780	plantfungi
1ihk_A	1	87	P31371	human
1ihm_A	1	190	Q83884	virus
1ihm_A	1	321	Q83884	virus
1ii7_A	1	109	Q8U1N9	bacteria
1ii7_A	1	213	Q8U1N9	bacteria
1ii7_A	1	235	Q8U1N9	bacteria
1ii7_A	1	313	Q8U1N9	bacteria
1ii7_A	1	331	Q8U1N9	bacteria
1ii7_A	1	93	Q8U1N9	bacteria
1ii7_A	28	281	Q8U1N9	bacteria
1ii7_A	42	323	Q8U1N9	bacteria
1ii7_A	45	209	Q8U1N9	bacteria
1ii7_A	45	235	Q8U1N9	bacteria
1iir_A	1	383	P96559	bacteria
1iir_A	153	361	P96559	bacteria
1iir_A	172	364	P96559	bacteria
1iir_A	173	383	P96559	bacteria
1iir_A	195	383	P96559	bacteria
1iir_A	86	383	P96559	bacteria
1iir_A	87	363	P96559	bacteria
1ijt_A	16	106	P08620	human
1ijt_A	4	129	P08620	human
1ijt_A	51	108	P08620	human
1ikn_D	31	80	P25963	human
1iok_A	142	366	Q9Z462	bacteria
1iok_A	366	483	Q9Z462	bacteria
1iok_A	5	479	Q9Z462	bacteria
1ioo_A	1	196	Q7SID5	plantfungi
1iqp_A	10	300	Q8U4J3	bacteria
1iqp_A	111	228	Q8U4J3	bacteria
1iqp_A	13	242	Q8U4J3	bacteria
1iqp_A	14	101	Q8U4J3	bacteria
1iqp_A	4	221	Q8U4J3	bacteria
1iqp_A	4	323	Q8U4J3	bacteria
1iqp_A	47	127	Q8U4J3	bacteria
1iqp_A	47	250	Q8U4J3	bacteria
1iqp_A	48	267	Q8U4J3	bacteria
1iqp_A	49	227	Q8U4J3	bacteria
1iqp_A	49	320	Q8U4J3	bacteria
1iqp_A	6	137	Q8U4J3	bacteria
1iqp_A	7	258	Q8U4J3	bacteria
1is7_A	1	195	P22288	nonHumanMammal
1iuf_A	2	145	P49777	plantfungi
1iup_A	93	272	P96965	bacteria
1iuq_A	108	277	nan	nan
1iuq_A	109	240	nan	nan
1iuq_A	110	302	nan	nan
1iuq_A	110	340	nan	nan
1iuq_A	128	285	nan	nan
1iuq_A	130	240	nan	nan
1iv0_A	1	62	Q5SHA1	bacteria
1ivs_A	1	199	P96142	bacteria
1ivs_A	1	220	P96142	bacteria
1ixh_A	1	131	P0AG82	bacteria
1ixh_A	2	159	P0AG82	bacteria
1ixh_A	50	286	P0AG82	bacteria
1ixi_A	4	171	P0AG82	bacteria
1ixz_A	44	116	Q5SI82	bacteria
1iyb_A	3	128	Q7XZV5	plantfungi
1iyb_A	39	163	Q7XZV5	plantfungi
1iyb_A	4	208	Q7XZV5	plantfungi
1iyb_A	40	209	Q7XZV5	plantfungi
1iyb_A	8	168	Q7XZV5	plantfungi
1iym_A	3	56	Q9LRB7	plantfungi
1iz5_A	120	241	O73947	bacteria
1j1b_A	117	306	P49841	human
1j1b_A	188	309	P49841	human
1j3k_A	27	220	P13922	invertebrate
1j5x_A	31	124	Q9WZS0	bacteria
1jd1_A	6	127	P40037	plantfungi
1jd5_A	1	101	Q24306	invertebrate
1jd5_A	1	82	Q24306	invertebrate
1jfi_B	33	97	Q01658	human
1jk0_A	214	335	P09938	plantfungi
1jk0_A	268	334	P09938	plantfungi
1jk0_A	290	335	P09938	plantfungi
1jk0_A	39	150	P09938	plantfungi
1jk0_A	41	130	P09938	plantfungi
1jk0_A	43	250	P09938	plantfungi
1jk0_A	44	100	P09938	plantfungi
1jk0_A	44	334	P09938	plantfungi
1jk0_A	46	281	P09938	plantfungi
1jk0_A	48	193	P09938	plantfungi
1jk0_A	51	224	P09938	plantfungi
1jk0_A	61	299	P09938	plantfungi
1jk0_A	61	334	P09938	plantfungi
1jk0_A	67	170	P09938	plantfungi
1jk0_A	67	252	P09938	plantfungi
1jk0_A	72	282	P09938	plantfungi
1jk0_A	75	224	P09938	plantfungi
1jk0_A	76	199	P09938	plantfungi
1jk0_A	80	129	P09938	plantfungi
1jk0_A	83	166	P09938	plantfungi
1jk0_A	83	252	P09938	plantfungi
1jkw_A	68	216	P51946	human
1jl1_A	40	145	P0A7Y4	bacteria
1jm7_A	8	88	P38398	human
