16vp_A	3	304	P06492	virus
1c8m_1	1	286	Q82122	virus
1c8m_1	1	47	Q82122	virus
1c8m_1	67	286	Q82122	virus
1c8m_1	97	175	Q82122	virus
1c8m_3	1	194	Q82122	virus
1c8m_3	1	239	Q82122	virus
1c8m_3	43	239	Q82122	virus
1c8m_3	64	239	Q82122	virus
1c8m_3	68	191	Q82122	virus
1c8m_3	80	239	Q82122	virus
1c8m_3	84	158	Q82122	virus
1c8m_3	84	183	Q82122	virus
1c8m_3	88	208	Q82122	virus
1c8m_4	8	30	nan	nan
1c8o_A	1	108	P07385	virus
1c8o_A	1	301	P07385	virus
1c8o_A	109	301	P07385	virus
1c8o_A	164	301	P07385	virus
1c8o_A	93	299	P07385	virus
1chc_A	1	69	P28990	virus
1cm9_A	1	69	Q98157	virus
1cn3_F	11	30	nan	nan
1cov_1	1	270	Q66282	virus
1cov_1	32	201	Q66282	virus
1cov_2	1	227	Q66282	virus
1cov_2	1	257	Q66282	virus
1cov_2	1	49	Q66282	virus
1cov_2	49	257	Q66282	virus
1cov_3	1	195	Q66282	virus
1cov_3	1	239	Q66282	virus
1cov_3	43	229	Q66282	virus
1cov_4	11	56	Q66282	virus
1cq3_A	1	225	Q85307	virus
1csj_A	1	515	P26663	virus
1csj_A	1	532	P26663	virus
1cvu_A	1	553	Q05769	nonHumanMammal
1cvu_A	140	539	Q05769	nonHumanMammal
1cvu_A	38	487	Q05769	nonHumanMammal
1cvu_A	58	552	Q05769	nonHumanMammal
1cwx_A	1	45	nan	nan
1cyd_A	1	65	P08074	nonHumanMammal
1d4m_1	1	199	P21404	virus
1d4m_1	1	216	P21404	virus
1d4m_1	1	44	P21404	virus
1d4m_1	2	285	P21404	virus
1d4m_1	44	215	P21404	virus
1d4m_1	58	255	P21404	virus
1d4m_1	64	285	P21404	virus
1d4m_2	1	223	P21404	virus
1d4m_2	1	253	P21404	virus
1d4m_2	1	47	P21404	virus
1d4m_2	47	253	P21404	virus
1d4m_3	43	239	P21404	virus
1d4m_3	70	232	P21404	virus
1d4m_4	15	62	P21404	virus
1dbd_A	7	99	P03122	virus
1dcq_A	167	260	Q7SIG6	nonHumanMammal
1dcq_A	183	242	Q7SIG6	nonHumanMammal
1dcq_A	184	259	Q7SIG6	nonHumanMammal
1dhm_A	1	83	P17383	virus
1dml_A	1	141	P10226	virus
1dml_A	1	268	P10226	virus
1dml_A	141	268	P10226	virus
1dml_A	4	232	P10226	virus
1dml_A	7	161	P10226	virus
1do5_A	5	153	O14618	human
1dto_A	2	201	P03120	virus
1dun_A	11	121	nan	nan
1dzl_A	1	456	P03101	virus
1e2j_A	1	307	P03176	virus
1e2k_A	1	193	P03176	virus
1e2k_A	2	308	P03176	virus
1e2l_A	1	305	P03176	virus
1e2l_A	11	260	P03176	virus
1e2l_A	4	281	P03176	virus
1e2l_A	7	196	P03176	virus
1e5g_A	3	62	P68639	virus
1e5g_A	65	120	P68639	virus
1e6u_A	118	225	P32055	bacteria
1e8u_A	43	207	Q9Q2W5	virus
1eah_1	1	261	P06210	virus
1eah_1	1	34	P06210	virus
1eah_1	1	52	P06210	virus
1eah_3	43	236	P06210	virus
1eam_A	1	286	P07617	virus
1ebo_A	36	113	O11457	virus
1ej6_A	1	1285	P11079	virus
1ej6_B	1	1032	P15024	virus
1ep4_A	1	227	P04585	virus
1ep4_A	1	524	P04585	virus
1ep4_A	61	205	P04585	virus
1es6_A	1	235	Q77DJ6	virus
1es6_A	1	261	Q77DJ6	virus
1euv_A	29	195	Q02724	plantfungi
1euv_A	31	217	Q02724	plantfungi
1ev1_1	1	216	O91734	virus
1ev1_1	1	282	O91734	virus
1ev1_1	44	216	O91734	virus
1ev1_1	64	255	O91734	virus
1ev1_1	64	282	O91734	virus
1ev1_2	1	255	O91734	virus
1ev1_2	49	255	O91734	virus
1ev1_3	1	196	O91734	virus
1ev1_3	1	240	O91734	virus
1ev1_3	43	240	O91734	virus
1ev1_3	46	160	O91734	virus
1ev1_3	81	228	O91734	virus
1ezj_A	1	115	P04859	virus
1ezj_A	33	86	P04859	virus
1f08_A	2	48	P03116	virus
1f0c_A	1	298	P07385	virus
1f0c_A	1	89	P07385	virus
1f0c_A	11	114	P07385	virus
1f0c_A	89	298	P07385	virus
1f3y_A	6	74	nan	nan
1f7d_A	1	119	P16088	virus
1f7d_A	17	119	P16088	virus
1f7d_A	2	103	P16088	virus
1f7d_A	25	103	P16088	virus
1f7d_A	47	119	P16088	virus
1f9f_A	1	77	P06790	virus
1f9f_C	1	77	P06790	virus
1f9p_A	9	82	P02775	human
1faf_A	1	80	P0DOJ6	virus
1faf_A	3	64	P0DOJ6	virus
1fl1_A	15	193	O36607	virus
1flc_A	1	407	P07975	virus
1flc_A	1	428	P07975	virus
1flc_A	137	292	P07975	virus
1flc_A	360	428	P07975	virus
1flc_B	1	163	P07975	virus
1fm5_A	23	118	Q07108	human
1fm5_A	3	119	Q07108	human
1fm5_A	3	46	Q07108	human
1fm5_A	3	64	Q07108	human
1fm5_A	3	96	Q07108	human
1fmd_1	65	182	Q65095	virus
1fn9_A	1	331	P03527	virus
1fnl_A	2	171	O75015	human
1fnl_A	7	155	O75015	human
1g0s_A	22	171	Q93K97	bacteria
1g29_1	13	221	Q9YGA6	bacteria
1g29_1	21	201	Q9YGA6	bacteria
1g29_1	29	218	Q9YGA6	bacteria
1g29_1	31	242	Q9YGA6	bacteria
1g3n_C	1	133	Q98147	virus
1g3n_C	1	234	Q98147	virus
1g3n_C	130	234	Q98147	virus
1g3n_C	22	113	Q98147	virus
1gh6_A	3	99	P03070	virus
1gh6_A	4	115	P03070	virus
1gh6_A	4	67	P03070	virus
1gh6_A	4	83	P03070	virus
1gh6_A	42	115	P03070	virus
1gh6_A	64	115	P03070	virus
1gk7_A	2	39	nan	nan
1h0n_A	1	289	P11157	nonHumanMammal
1h0n_A	17	289	P11157	nonHumanMammal
1h0n_A	27	210	P11157	nonHumanMammal
1h0n_A	33	289	P11157	nonHumanMammal
1h0n_A	97	288	P11157	nonHumanMammal
1h8t_A	1	199	Q8JKE8	virus
1h8t_A	1	216	Q8JKE8	virus
1h8t_A	1	291	Q8JKE8	virus
1h8t_A	1	43	Q8JKE8	virus
1h8t_A	205	291	Q8JKE8	virus
1h8t_A	44	199	Q8JKE8	virus
1h8t_A	44	215	Q8JKE8	virus
1h8t_A	64	255	Q8JKE8	virus
1h8t_A	64	291	Q8JKE8	virus
1h8t_B	1	223	Q8JKE8	virus
1h8t_B	1	254	Q8JKE8	virus
1h8t_B	1	47	Q8JKE8	virus
1h8t_B	47	254	Q8JKE8	virus
1h8t_C	1	195	Q8JKE8	virus
1h8t_C	1	239	Q8JKE8	virus
1h8t_C	107	159	Q8JKE8	virus
1h8t_C	107	227	Q8JKE8	virus
1h8t_C	28	195	Q8JKE8	virus
1h8t_C	43	239	Q8JKE8	virus
1h8t_C	63	230	Q8JKE8	virus
1ha0_A	1	345	P03437	virus
1ha0_A	1	495	P03437	virus
1hgd_A	1	329	P03438	virus
1hni_B	1	428	P03367	virus
1hpz_A	1	557	P03366	virus
1hq8_A	6	123	O54709	nonHumanMammal
1hxs_1	43	198	P03300	virus
1i1r_B	1	168	Q98823	virus
1i84_S	806	909	P10587	nonMammalVertebrate
1i84_S	822	909	P10587	nonMammalVertebrate
1i84_S	887	909	P10587	nonMammalVertebrate
1ihm_A	1	280	Q83884	virus
1ihm_A	1	493	Q83884	virus
1ihm_A	22	196	Q83884	virus
1ihm_A	263	493	Q83884	virus
1ihm_A	43	196	Q83884	virus
1ihm_A	62	196	Q83884	virus
1ikv_A	1	557	P03366	virus
1im3_D	1	96	P09713	virus
1inf_A	1	391	P03474	virus
1iny_A	1	389	P03472	virus
1ivc_A	1	389	P06820	virus
1ivc_A	35	367	P06820	virus
1j23_A	1	98	Q8TZH8	bacteria
1j5o_A	1	559	P03366	virus
1jjh_A	5	78	P03122	virus
1jk0_A	268	334	P09938	plantfungi
1jkh_A	1	240	P04585	virus
1jkh_A	1	552	P04585	virus
1jkh_A	146	240	P04585	virus
1jkh_A	54	213	P04585	virus
1jle_A	20	527	P04585	virus
1jle_B	1	409	P04585	virus
1jlf_A	1	540	P04585	virus
1jma_A	57	182	P57083	virus
1jmo_A	317	409	P05546	human
1jmu_B	1	609	P11077	virus
1jsd_A	1	318	Q91CD4	virus
1jsd_B	1	161	Q91CD4	virus
1jsn_A	1	322	A5Z226	virus
1jte_A	1	292	P07617	virus
1jvr_A	2	101	P03363	virus
1jvr_A	2	138	P03363	virus
1jvr_A	74	138	P03363	virus
1k3k_A	1	147	Q76RI8	virus
1k3k_A	36	135	Q76RI8	virus
1k3k_A	69	147	Q76RI8	virus
1k3v_A	1	543	P18546	virus
1k3v_A	5	471	P18546	virus
1k8q_A	130	185	P80035	nonHumanMammal
1khv_A	156	348	P27410	virus
1ki6_A	1	301	P03176	virus
1ki6_A	11	256	P03176	virus
1kim_A	1	305	P03176	virus
1knz_A	1	155	P03536	virus
1kri_A	1	161	P12473	virus
1ksy_A	1	146	P03116	virus
1ktg_A	33	136	Q9U2M7	invertebrate
1l2m_A	1	119	P27260	virus
1l6n_A	1	150	Q72497	virus
1l7g_A	1	389	P03472	virus
1l7h_A	1	389	P03472	virus
1lay_A	17	203	P16753	virus
1lg7_A	1	165	nan	nan
1lg7_A	103	164	nan	nan
1lj2_A	1	107	P03536	virus
1lj2_A	1	77	P03536	virus
1lp3_A	1	520	P03135	virus
1lqs_L	1	143	P17150	virus
1luz_A	1	40	P18378	virus
1luz_A	1	86	P18378	virus
1lvg_A	1	187	Q64520	nonHumanMammal
1lvg_A	1	58	Q64520	nonHumanMammal
1lvg_A	121	191	Q64520	nonHumanMammal
1lvg_A	43	121	Q64520	nonHumanMammal
1lvg_A	43	191	Q64520	nonHumanMammal
1lvg_A	96	191	Q64520	nonHumanMammal
1lw0_A	1	514	P04585	virus
1lw0_B	1	400	P04585	virus
1lwc_A	1	508	P04585	virus
1lwc_B	1	403	P04585	virus
1lwe_A	1	544	P04585	virus
1lwe_B	1	402	P04585	virus
1lwf_A	1	544	P04585	virus
1lwf_B	1	396	P04585	virus
1m55_A	2	194	Q9YJC1	virus
1m8a_A	1	62	P78556	human
1m8l_A	1	83	Q73369	virus
1m93_C	1	32	P07385	virus
1mec_3	1	227	P12296	virus
1mec_3	62	228	P12296	virus
1mec_3	78	226	P12296	virus
1mec_3	82	191	P12296	virus
1mg1_A	366	451	P0AEX9	bacteria
1mgs_A	2	73	P09341	human
1mgs_A	4	56	P09341	human
1mql_A	1	319	P03442	virus
1mql_B	134	172	P03442	virus
1mqt_A	2	186	Q8B8X4	virus
1mqt_A	32	186	Q8B8X4	virus
1mqt_A	52	272	Q8B8X4	virus
1mqt_B	1	255	Q8B8X4	virus
1mqt_B	1	49	Q8B8X4	virus
1mqt_B	49	255	Q8B8X4	virus
1mqt_C	1	195	Q8B8X4	virus
1mqt_C	1	239	Q8B8X4	virus
1mqt_C	100	221	Q8B8X4	virus
1mqt_C	43	229	Q8B8X4	virus
1mqt_C	66	230	Q8B8X4	virus
1mqt_C	77	159	Q8B8X4	virus
1mu2_A	1	228	P04584	virus
1mu2_A	1	539	P04584	virus
1mu2_A	100	177	P04584	virus
1mu2_A	100	228	P04584	virus
1mu2_A	103	211	P04584	virus
1mu2_A	134	228	P04584	virus
1mu2_A	17	183	P04584	virus
1mu2_A	17	211	P04584	virus
1mu2_A	220	303	P04584	virus
1mu2_A	27	271	P04584	virus
1mu2_A	291	417	P04584	virus
1mu2_A	4	271	P04584	virus
1mu2_A	402	539	P04584	virus
1mu2_A	43	211	P04584	virus
1mu2_A	66	177	P04584	virus
1mu2_A	66	211	P04584	virus
1mu2_A	66	228	P04584	virus
1n0r_A	1	63	nan	nan
1n0r_A	2	46	nan	nan
1n11_A	15	394	P16157	human
1n1f_A	6	148	Q9UHD0	human
1n1h_A	1	1265	P0CK31	virus
1nca_N	2	390	P03472	virus
1ncb_N	2	390	P03472	virus
1ncc_N	2	390	P03472	virus
1ncd_N	2	390	P05803	virus
1ncr_B	1	222	Q82122	virus
1ncr_B	1	253	Q82122	virus
1ncr_B	1	51	Q82122	virus
1ncr_B	47	253	Q82122	virus
1ncr_D	8	30	Q82122	virus
1ng7_A	2	61	P03300	virus
1nhu_A	1	510	P26663	virus
1nhu_A	1	559	P26663	virus
1nma_N	1	379	P05803	virus
1nmb_N	1	389	P05803	virus
1no7_A	1	340	P06491	virus
1no7_A	1	543	P06491	virus
1no7_A	40	340	P06491	virus
1no7_A	40	543	P06491	virus
1nob_A	1	186	P36711	virus
1nqz_A	50	172	nan	nan
1nsb_A	1	391	P27907	virus
1o0w_A	120	239	Q9X0I6	bacteria
1o0w_A	136	239	Q9X0I6	bacteria
1o0w_A	77	239	Q9X0I6	bacteria
1o6e_A	1	226	P03234	virus
1of1_A	1	198	P03176	virus
1of1_A	1	309	P03176	virus
1ojl_A	1	227	P25852	bacteria
1ojl_A	1	243	P25852	bacteria
1ojl_A	20	244	P25852	bacteria
1ojl_A	3	193	P25852	bacteria
1olz_A	534	623	Q92854	human
1olz_A	536	602	Q92854	human
1oop_A	1	203	P13900	virus
1oop_A	1	272	P13900	virus
1oop_A	52	272	P13900	virus
1oop_B	1	223	P13900	virus
1oop_B	1	253	P13900	virus
1oop_B	1	47	P13900	virus
1oop_B	47	253	P13900	virus
1oop_C	1	195	P13900	virus
1oop_C	1	239	P13900	virus
1oop_C	43	239	P13900	virus
1oop_C	46	158	P13900	virus
1oop_C	68	239	P13900	virus
1oop_D	14	59	P13900	virus
1os5_A	1	515	P26663	virus
1os5_A	1	564	P26663	virus
1osn_A	1	326	P0C0E6	virus
1osn_A	267	326	P0C0E6	virus
1osn_A	5	205	P0C0E6	virus
1osn_A	5	280	P0C0E6	virus
1oxx_K	19	228	Q97UY8	bacteria
1oyi_A	1	63	Q86638	virus
1oyi_A	30	63	Q86638	virus
1oyw_A	233	346	P15043	bacteria
1p2z_A	1	518	P03277	virus
1p2z_A	1	854	P03277	virus
1p2z_A	1	888	P03277	virus
1p2z_A	40	518	P03277	virus
1p2z_A	518	576	P03277	virus
1p2z_A	576	799	P03277	virus
1p2z_A	796	888	P03277	virus
1p3y_1	22	153	Q9RC23	bacteria
1p5z_B	90	184	P27707	human
1p69_A	4	186	P36711	virus
1p6a_A	8	186	P36711	virus
1p6x_A	1	334	P24425	virus
1p6x_A	4	197	P24425	virus
1pd3_A	1	55	P03508	virus
1piv_1	1	280	P03302	virus
1piv_1	1	34	P03302	virus
1piv_1	34	189	P03302	virus
1piv_1	54	280	P03302	virus
1piv_3	1	195	P03302	virus
1piv_3	1	236	P03302	virus
1piv_3	107	227	P03302	virus
1piv_3	43	230	P03302	virus
1piv_3	85	227	P03302	virus
1poc_A	1	103	P00630	invertebrate
1poc_A	1	87	P00630	invertebrate
1pov_0	1	55	P03300	virus
1pov_0	13	301	P03300	virus
1pov_0	55	268	P03300	virus
1pov_0	55	301	P03300	virus
1pov_0	85	250	P03300	virus
1pov_0	85	301	P03300	virus
1prh_A	1	553	P05979	nonHumanMammal
1prh_A	58	553	P05979	nonHumanMammal
1pth_A	1	551	P05979	nonHumanMammal
1pth_A	58	551	P05979	nonHumanMammal
1pwb_A	27	132	P35247	human
1pwb_A	27	152	P35247	human
1q27_A	58	170	Q9RY71	bacteria
1q2w_A	1	296	P0C6U8	virus
1q5h_A	1	128	P33316	human
1q5h_A	22	128	P33316	human
1q94_A	2	276	P13746	human
1qiu_A	1	265	nan	nan
1qiu_A	1	36	nan	nan
1qiu_A	3	88	nan	nan
1qiu_A	71	265	nan	nan
1qlo_A	2	35	nan	nan
1qqh_A	98	145	P06790	virus
1qrj_A	165	215	P03345	virus
1qrj_A	6	208	P03345	virus
1qvr_A	302	499	Q9RA63	bacteria
1qvr_A	363	512	Q9RA63	bacteria
1qzu_A	29	150	Q96CD2	human
1r1a_1	1	157	P23008	virus
1r1a_1	1	206	P23008	virus
1r1a_1	1	264	P23008	virus
1r1a_1	1	284	P23008	virus
1r1a_1	1	43	P23008	virus
1r1a_1	43	196	P23008	virus
1r1a_1	63	264	P23008	virus
1r1a_1	63	284	P23008	virus
1r1a_1	96	174	P23008	virus
1r1a_2	1	222	P23008	virus
1r1a_2	1	254	P23008	virus
1r1a_2	46	254	P23008	virus
1r1a_3	1	194	P23008	virus
1r1a_3	1	239	P23008	virus
1r1a_3	66	239	P23008	virus
1r1a_3	85	228	P23008	virus
1r3h_A	158	248	Q31206	nonHumanMammal
1r4g_A	1	54	P04859	virus
1r6n_A	2	181	P04015	virus
1r6n_A	2	197	P04015	virus
1r6n_A	26	121	P04015	virus
1r6n_A	75	197	P04015	virus
1r6r_A	1	81	P12823	virus
1r7c_A	1	32	nan	nan
1r8h_A	1	85	Q84294	virus
1r8p_A	3	82	P03120	virus
1r9w_A	1	139	P06789	virus
1r9w_A	23	139	P06789	virus
1raj_A	1	258	P03300	virus
1rdr_A	1	317	P03300	virus
1rdr_A	243	317	P03300	virus
1rdr_A	260	317	P03300	virus
1rhi_1	1	139	Q82081	virus
1rhi_1	1	189	Q82081	virus
1rhi_1	1	274	Q82081	virus
1rhi_1	32	189	Q82081	virus
1rhi_1	32	206	Q82081	virus
1rhi_1	52	274	Q82081	virus
1rhi_2	1	223	Q82081	virus
1rhi_2	1	256	Q82081	virus
1rhi_2	49	256	Q82081	virus
1rhi_3	1	192	Q82081	virus
1rhi_3	1	237	Q82081	virus
1rhi_3	43	237	Q82081	virus
1rhi_3	97	237	Q82081	virus
1rhi_4	1	44	nan	nan
1rif_A	111	265	P20703	virus
1rif_A	128	264	P20703	virus
1rif_A	128	280	P20703	virus
1rmu_1	1	31	P03303	virus
1rod_A	2	72	P10145	human
1rt3_A	1	522	P04585	virus
1rt3_B	1	399	P04585	virus
1rtd_A	2	555	P03366	virus
1ru7_A	1	323	P03452	virus
1ruc_1	1	188	P03303	virus
1ruc_1	1	274	P03303	virus
1ruc_1	51	274	P03303	virus
1rue_1	1	188	P03303	virus
1rue_1	31	188	P03303	virus
1rug_1	1	188	P03303	virus
1rui_1	1	29	P03303	virus
1rvf_2	1	222	P03303	virus
1rvf_2	1	254	P03303	virus
1rvf_2	49	254	P03303	virus
1rvx_A	1	323	P03452	virus
1s1t_A	1	535	P04585	virus
1s1t_B	1	417	P04585	virus
1s1w_A	1	526	P04585	virus
1s1w_A	106	223	P04585	virus
1s1w_B	1	405	P04585	virus
1s1x_A	1	547	P04585	virus
1s1x_B	1	398	P04585	virus
1s58_A	1	489	nan	nan
1s58_A	1	524	nan	nan
1s58_A	54	524	nan	nan
1s7q_A	97	277	P01901	nonHumanMammal
1s9h_A	110	162	P03132	virus
1s9h_A	3	269	P03132	virus
1s9h_A	4	253	P03132	virus
1s9h_A	47	249	P03132	virus
1s9h_A	57	130	P03132	virus
1s9h_A	64	253	P03132	virus
1s9h_A	90	250	P03132	virus
1s9h_A	99	202	P03132	virus
1s9h_A	99	233	P03132	virus
1sfu_A	1	71	Q9DHS8	virus
1sh0_A	1	155	Q70ET3	virus
1sh0_A	1	503	Q70ET3	virus
1sh0_A	148	414	Q70ET3	virus
1sh0_A	414	503	Q70ET3	virus
1sid_A	1	323	P49302	virus
1sid_A	1	367	P49302	virus
1sid_A	323	367	P49302	virus
1sjn_A	1	116	P9WNS5	bacteria
1sjn_A	95	132	P9WNS5	bacteria
1sjy_A	35	144	Q9RVK2	bacteria
1slq_A	1	271	P12473	virus
1ssk_A	21	159	P59595	virus
1sva_1	1	349	P03087	virus
1svm_A	155	266	P03070	virus
1sxj_A	1	79	P38630	plantfungi
1t03_A	1	559	P03366	virus
1t03_B	1	430	P03366	virus
1t05_B	1	415	P04585	virus
1t4n_A	4	78	Q02555	plantfungi
1t4o_A	1	77	Q02555	plantfungi
1t6o_A	1	50	Q77M42	virus
1tme_1	1	120	nan	nan
1tme_1	1	257	nan	nan
1tme_1	110	257	nan	nan
1tme_1	2	86	nan	nan
1tme_2	1	225	P13899	virus
1tme_2	1	256	P13899	virus
1tme_2	48	256	P13899	virus
1tme_4	1	26	nan	nan
1tmf_1	3	260	P08544	virus
1tmf_2	1	236	P08544	virus
1tmf_2	1	268	P08544	virus
1tmf_2	51	268	P08544	virus
1tmf_3	1	233	P08544	virus
1tmf_3	65	233	P08544	virus
1tql_A	1	458	P03300	virus
1tql_A	17	458	P03300	virus
1tue_A	12	68	P06789	virus
1tue_A	13	109	P06789	virus
1tue_A	21	132	P06789	virus
1tue_A	23	149	P06789	virus
1tue_A	24	202	P06789	virus
1tue_A	25	178	P06789	virus
1tue_A	28	85	P06789	virus
1tue_A	38	132	P06789	virus
1tue_A	4	132	P06789	virus
1tue_A	4	150	P06789	virus
1tue_A	4	202	P06789	virus
1tue_A	43	198	P06789	virus
1tue_A	46	163	P06789	virus
1tue_A	47	106	P06789	virus
1tue_A	50	179	P06789	virus
1tue_A	55	132	P06789	virus
1tue_A	7	176	P06789	virus
1tue_B	1	195	P06790	virus
1tue_B	130	195	P06790	virus
1tue_B	63	195	P06790	virus
1tv6_A	1	536	P03366	virus
1twf_A	445	544	P04050	plantfungi
1twf_A	54	346	P04050	plantfungi
1twf_A	695	800	P04050	plantfungi
1twf_A	806	1141	P04050	plantfungi
1twf_A	806	1327	P04050	plantfungi
1u0j_A	23	229	P03132	virus
1u0j_A	24	252	P03132	virus
1u20_A	37	87	Q6TEC1	nonMammalVertebrate
1u57_A	6	49	Q70622	virus
1u67_A	2	554	P05979	nonHumanMammal
1u67_A	59	554	P05979	nonHumanMammal
1uhz_A	4	79	Q8CJ67	nonHumanMammal
1ul1_X	1	225	P39748	human
1ul1_X	90	199	P39748	human
1umr_A	4	135	O93426	nonMammalVertebrate
1upn_D	14	61	Q8JKE8	virus
1urj_A	1	1030	P04296	virus
1urj_A	1	918	P04296	virus
1urj_A	2	514	P04296	virus
1urz_A	1	284	Q80E47	virus
1urz_A	1	383	Q80E47	virus
1urz_A	283	381	Q80E47	virus
1uut_A	1	196	Q9YJC1	virus
1uw7_A	1	121	P0C6X7	virus
1uwb_A	1	559	P03366	virus
1uxb_A	1	185	Q64822	virus
1v1h_A	3	81	P10104	virus
1v2i_A	1	432	Q6WJ03	virus
1v2i_A	24	432	Q6WJ03	virus
1v43_A	117	189	O57758	bacteria
1v43_A	20	217	O57758	bacteria
1vba_2	1	234	P03302	virus
1vba_2	51	267	P03302	virus
1vbd_1	1	284	P03300	virus
1vbd_1	1	38	P03300	virus
1vbd_3	1	195	P03300	virus
1vbd_3	1	236	P03300	virus
1vbd_3	107	227	P03300	virus
1vbd_3	43	236	P03300	virus
1vbd_3	85	227	P03300	virus
1vbe_1	34	189	P03302	virus
1vbe_1	54	262	P03302	virus
1vcc_A	1	62	P68698	virus
1vcc_A	1	78	P68698	virus
1vhz_A	15	160	P45799	bacteria
1vk6_A	140	237	P32664	bacteria
1vlk_A	1	143	P03180	virus
1vlk_A	26	143	P03180	virus
1vp3_A	1	292	P07617	virus
1vpt_A	1	292	P07617	virus
1vvc_A	1	119	P68638	virus
1vvc_A	3	58	P68638	virus
1vvc_A	61	118	P68638	virus
1vyx_A	1	61	nan	nan
1vzv_A	1	212	P09286	virus
1vzv_A	18	212	P09286	virus
1w36_D	442	514	P04993	bacteria
1w5v_A	1	100	P03366	virus
1whn_A	20	100	Q9D7B1	nonHumanMammal
1wof_A	5	310	P0C6X7	virus
1wpo_A	19	208	P16753	virus
1wqs_A	1	174	Q9DU47	virus
1wqs_A	15	145	Q9DU47	virus
1wz4_A	1	24	nan	nan
1x9p_A	219	275	P03276	virus
1xcq_P	1	25	nan	nan
1xr5_A	1	150	P03303	virus
1xr5_A	1	461	P03303	virus
1xr5_A	136	404	P03303	virus
1xr5_A	152	385	P03303	virus
1xr5_A	167	336	P03303	virus
1xr5_A	167	356	P03303	virus
1xr5_A	17	461	P03303	virus
1xr5_A	199	336	P03303	virus
1xr5_A	199	356	P03303	virus
1xr5_A	199	379	P03303	virus
1xr5_A	20	442	P03303	virus
1xr5_A	217	336	P03303	virus
1xr5_A	217	356	P03303	virus
1xr5_A	217	379	P03303	virus
1xr5_A	244	374	P03303	virus
1xr5_A	404	461	P03303	virus
1xr6_A	1	151	P12916	virus
1xr6_A	1	461	P12916	virus
1xr6_A	139	404	P12916	virus
1xr6_A	159	353	P12916	virus
1xr6_A	167	374	P12916	virus
1xr6_A	217	403	P12916	virus
1xr6_A	245	360	P12916	virus
1xr6_A	404	461	P12916	virus
1xr6_A	97	459	P12916	virus
1xr7_A	1	151	Q82122	virus
1xr7_A	1	461	Q82122	virus
1xr7_A	154	419	Q82122	virus
1xr7_A	17	150	Q82122	virus
1xr7_A	196	379	Q82122	virus
1xr7_A	21	418	Q82122	virus
1xr7_A	217	388	Q82122	virus
1xr7_A	300	392	Q82122	virus
1xr7_A	402	461	Q82122	virus
1xwi_A	10	237	O75351	human
1xwi_A	43	214	O75351	human
1yks_A	1	152	P03314	virus
1yks_A	1	66	P03314	virus
1yks_A	147	277	P03314	virus
1yks_A	192	238	P03314	virus
1yks_A	192	276	P03314	virus
1yks_A	2	432	P03314	virus
1yks_A	277	432	P03314	virus
1yks_A	3	182	P03314	virus
1yks_A	315	432	P03314	virus
1yks_A	99	286	P03314	virus
1yo4_A	3	87	P59635	virus
1ypq_A	5	131	P78380	human
1ypy_A	1	183	P07612	virus
1ypy_A	33	183	P07612	virus
